date;Parc;Usage;Revenu
30/03/2022;6728;12222,25;565,09
31/03/2022;6671;12668,95;609,46
01/04/2022;6758;12711,28;624,79
02/04/2022;6792;13080,51;615,42
03/04/2022;6811;11706,48;547,2
04/04/2022;6818;12561,75;644,46
05/04/2022;6849;12567,8;617,62
06/04/2022;6868;12946,45;626,7
07/04/2022;6889;12787,22;614,06
08/04/2022;6917;13106,49;652,67
09/04/2022;6949;13173,92;630,03
10/04/2022;6962;12152,19;560,96
11/04/2022;6971;12837,8;666,44
12/04/2022;7010;12989,2;612,27
13/04/2022;7038;12917,68;624,63
14/04/2022;7038;12770,39;622,01
15/04/2022;7078;12229,3;591,81
16/04/2022;7091;12704;626,85
17/04/2022;7082;11583,97;541,38
18/04/2022;7102;12669,06;640,06
19/04/2022;7117;12533,43;600,46
20/04/2022;7127;12064,28;579,81
21/04/2022;7140;12501,97;601,88
22/04/2022;7147;12658,5;598,91
23/04/2022;7151;11997,44;591,95
24/04/2022;7143;11509,88;545,27
25/04/2022;7140;12522,45;641,54
26/04/2022;7188;12346,95;601,66
27/04/2022;7156;12383,06;618,75
28/04/2022;7236;12470,88;616,43
29/04/2022;7250;12233,26;617,24
30/04/2022;7262;12750,37;649,35
01/05/2022;7256;11546,92;547,53
02/05/2022;7268;12870,26;663,9
03/05/2022;7278;12964,81;643,78
04/05/2022;7285;13033,37;636,29
05/05/2022;7296;13190,09;659,14
06/05/2022;7305;13170,03;655,52
07/05/2022;7317;12780,53;632,29
08/05/2022;7320;11771,91;566,12
09/05/2022;7456;12992,97;674,93
10/05/2022;7456;12974,24;641,6
11/05/2022;7478;12957;640,18
12/05/2022;7485;12970,27;638,57
13/05/2022;7500;13009,43;639,85
14/05/2022;7509;12971,93;650,95
15/05/2022;7499;11973,88;570,63
16/05/2022;7500;13009,21;666,14
17/05/2022;7505;12901,01;627,2
18/05/2022;7519;12966,33;639,73
19/05/2022;7526;13061,67;640,61
20/05/2022;7622;13109,72;643,76
21/05/2022;7622;13198,34;652,49
22/05/2022;7547;11912,41;569,38
23/05/2022;7556;12803,46;650,76
24/05/2022;7567;12653,52;630,5
25/05/2022;7576;12726,4;628,85
26/05/2022;7582;12664,86;632,57
27/05/2022;7510;12829,42;637,86
28/05/2022;7569;12713,99;633,15
29/05/2022;7559;11541,22;571,66
30/05/2022;7554;12997,12;660,4
31/05/2022;7568;12777,27;647,36
01/06/2022;7568;12846,37;653,5
02/06/2022;7569;10784,11;654,89
03/06/2022;7578;10981,48;662,82
04/06/2022;7582;10980;664,99
05/06/2022;7573;9918,75;593,53
06/06/2022;7576;11273,25;692,08
07/06/2022;7580;11063,48;669,9
08/06/2022;7605;11024,2;658,73
09/06/2022;7622;10939,33;659,73
10/06/2022;7642;11160,32;667,88
11/06/2022;7647;10981,23;657,25
12/06/2022;7637;10016,92;587,97
13/06/2022;7635;11325,05;686,3
14/06/2022;7636;11205,56;666,08
15/06/2022;7642;11082,09;660,73
16/06/2022;7645;11134,75;651,57
17/06/2022;7645;11039,51;652,2
18/06/2022;7639;10999,18;643,46
19/06/2022;7703;10072,07;575,14
20/06/2022;7716;10148,49;668,39
21/06/2022;7733;10944,35;648,47
22/06/2022;7749;10960,33;642,14
23/06/2022;7755;10970,56;643,56
24/06/2022;7771;11195,29;659,69
25/06/2022;7784;11118,78;657,78
26/06/2022;7790;9999,06;578,57
27/06/2022;7797;10342,84;632,96
28/06/2022;7814;10647,29;632,44
29/06/2022;7832;11458,54;673,14
30/06/2022;7841;11139,7;644,86
01/07/2022;7846;11442,57;679,03
02/07/2022;7849;11479,43;673,41
03/07/2022;7843;10438,08;597,25
04/07/2022;7840;11729,21;703,16
05/07/2022;7859;11748,47;683,85
06/07/2022;7866;11727,23;680,25
07/07/2022;7883;11867,38;679,4
08/07/2022;7877;11724,84;679,46
09/07/2022;7881;11728,34;684,86
10/07/2022;7866;10632,09;600,09
11/07/2022;7875;12193,97;714,03
12/07/2022;7902;11919,62;685,14
13/07/2022;7917;11938,48;683,05
14/07/2022;7933;11750,34;676,74
15/07/2022;7951;12034,45;684,84
16/07/2022;7966;11805,23;687,87
17/07/2022;7973;11008,9;620,43
18/07/2022;7994;11922,32;698,98
19/07/2022;8034;11850,24;680,18
20/07/2022;8042;11707,22;670,01
21/07/2022;8062;11400,58;652,34
22/07/2022;8068;11533,94;663,03
23/07/2022;8079;11264,42;650,91
24/07/2022;8074;10411,92;586,21
25/07/2022;8080;11689,36;678,76
26/07/2022;8093;11491,99;657,7
27/07/2022;8106;11817,1;669,07
28/07/2022;8118;11721,07;667,51
29/07/2022;8130;11808,68;676,38
30/07/2022;8124;11864,25;682,9
31/07/2022;8112;10663,86;600,83
01/08/2022;8114;11542,92;677,67
02/08/2022;8115;12088,58;693,64
03/08/2022;8133;12264,94;692,95
04/08/2022;8145;12120,5;688,02
05/08/2022;8153;12284,55;690,28
06/08/2022;8143;12394,67;699,12
07/08/2022;8137;11217,8;615,48
08/08/2022;8137;12598,44;714,4
09/08/2022;8154;12440,89;697,9
10/08/2022;8153;12302,23;691,94
11/08/2022;8148;12088,31;681,29
12/08/2022;8143;12050,99;674,31
13/08/2022;8142;11507,85;672,92
14/08/2022;8108;10886,29;598,79
15/08/2022;8103;12216,22;700,76
16/08/2022;8105;12126,08;680,83
17/08/2022;8101;11597,86;665,21
18/08/2022;8082;11645,51;684,46
19/08/2022;8070;12023,04;688,86
20/08/2022;8050;12121,56;685,34
21/08/2022;8026;10846,13;593,52
22/08/2022;8026;11728,39;682,44
23/08/2022;8003;11809,6;676,96
24/08/2022;8012;11676,3;660,97
25/08/2022;8018;12037,24;679,21
26/08/2022;8008;12017,83;674,9
27/08/2022;8002;11868,37;672,98
28/08/2022;8029;10651,75;588,51
29/08/2022;8021;11494,3;689,11
30/08/2022;8026;11908,82;678,99
31/08/2022;8040;11915,83;677,02
01/09/2022;8031;11908,86;683,26
02/09/2022;8021;11891,96;694,03
03/09/2022;8012;11542,36;680,45
04/09/2022;7999;10615,32;622,21
05/09/2022;7996;12499,06;716,68
06/09/2022;8006;12121,9;681,16
07/09/2022;8007;11978,33;687,71
08/09/2022;8008;12146,75;679,33
09/09/2022;7998;12010,86;665,49
10/09/2022;7991;11435,25;655,32
11/09/2022;7974;10114,58;564,64
12/09/2022;7977;11276,52;652,63
13/09/2022;7994;11330,98;661,17
14/09/2022;7992;11105,52;640,24
15/09/2022;7994;11409,31;649,29
16/09/2022;8004;11286,65;646,53
17/09/2022;8010;11456,01;655,91
18/09/2022;8008;10027,5;557,53
19/09/2022;8009;11511,3;664,78
20/09/2022;8025;11367,52;640,43
21/09/2022;8032;11154,45;615,62
22/09/2022;8034;11017,16;632,13
23/09/2022;8037;11289,7;636,45
24/09/2022;8024;11300,54;635,44
25/09/2022;8010;10197,62;563,19
26/09/2022;8012;9616,72;642,52
27/09/2022;8023;11441,68;627,6
28/09/2022;8027;11201,64;626,14
29/09/2022;8027;11159,11;631,64
30/09/2022;8023;10448,99;634,44
01/10/2022;8011;11330,15;648,5
02/10/2022;7996;10308,55;580,55
03/10/2022;7997;11389,51;681,27
04/10/2022;8002;11438,97;656,21
05/10/2022;8012;11217,96;641,21
06/10/2022;8014;11172,4;641,71
07/10/2022;8016;11376,51;656,31
08/10/2022;8005;11058,55;624
09/10/2022;7999;9294,35;573,91
10/10/2022;7999;9605,58;670,37
11/10/2022;8012;9313,46;644,44
12/10/2022;8021;9011,93;619,72
13/10/2022;8026;9138,47;636,34
14/10/2022;8033;10593,11;635,35
15/10/2022;8022;10927,71;638,34
16/10/2022;8007;9775,73;552
17/10/2022;7998;10958,81;649,47
18/10/2022;7997;10592,99;602,2
19/10/2022;8003;10855,89;625,7
20/10/2022;8004;10381,78;604,96
21/10/2022;8004;10810,79;627,08
22/10/2022;8005;10479,16;616,38
23/10/2022;8011;9785,71;555,42
24/10/2022;7993;10071,64;589,97
25/10/2022;8001;10688,08;630,1
26/10/2022;7997;10413,89;596,23
27/10/2022;8005;10803,23;623,75
28/10/2022;8002;10525,54;601,95
29/10/2022;7996;10680,66;618,69
30/10/2022;7972;9236,01;521,72
31/10/2022;7969;10542,49;644,18
01/11/2022;7969;10373,25;608,14
02/11/2022;7958;10580,44;637,25
03/11/2022;7951;10924,94;635,74
04/11/2022;7948;10831,32;633,82
05/11/2022;7945;10767,88;625,53
06/11/2022;7925;9761,64;560,62
07/11/2022;7927;10789,65;646,01
08/11/2022;7941;10692,03;623,89
09/11/2022;7940;10473,76;605,64
10/11/2022;7948;9978,28;579,98
11/11/2022;7950;10567,8;620,59
12/11/2022;7954;10669,59;623,47
13/11/2022;7938;9626,91;543,41
14/11/2022;7943;10623,92;630,87
15/11/2022;7958;10129,44;564,4
16/11/2022;7966;10420,99;615,62
17/11/2022;7972;10301,75;587,89
18/11/2022;7967;10432,51;609,53
19/11/2022;7976;10903,25;624,63
20/11/2022;7964;9411,03;520,44
21/11/2022;7956;10515,01;614,39
